Level |	Credits |	Battle Data |	Core Dust
2	600	2280	0
3	600	2280	 
4	600	2280	 
5	600	2280	 
6	600	2280	 
7	600	2280	 
8	600	2280	 
9	600	2280	 
10	600	2280	 
11	600	2280	20
12	600	2280	 
13	600	2280	 
14	600	2280	 
15	600	2280	 
16	600	2280	 
17	600	2280	 
18	600	2280	 
19	600	2280	 
20	600	2280	 
21	600	5700	40
22	600	5700	 
23	600	5700	 
24	600	5700	 
25	600	5700	 
26	600	5700	 
27	600	5700	 
28	600	5700	 
29	600	5700	 
30	600	5700	 
31	840	5700	 
32	840	5700	 
33	840	5700	 
34	840	5700	 
35	840	5700	 
36	840	5700	 
37	840	5700	 
38	840	5700	 
39	840	5700	 
40	840	5700	 
41	4860	22650	80
42	4860	22650	 
43	4860	22650	 
44	4860	22650	 
45	4860	22650	 
46	4860	22650	 
47	4860	22650	 
48	4860	22650	 
49	4860	22650	 
50	4860	22650	 
51	4860	22650	 
52	6540	37250	 
53	6540	37250	 
54	6540	37250	 
55	6540	37250	 
56	6540	37250	 
57	6540	37250	 
58	6540	37250	 
59	6540	37250	 
60	6540	37250	 
61	10350	71850	400
62	10350	71850	 
63	10350	71850	 
64	10350	71850	 
65	10350	71850	 
66	10350	71850	 
67	10350	71850	 
68	10350	71850	 
69	10350	71850	 
70	10350	71850	 
71	10350	71850	 
72	14600	109450	 
73	14600	109450	 
74	14600	109450	 
75	14600	109450	 
76	14600	109450	 
77	16300	126250	 
78	16300	126250	 
79	16300	126250	 
80	16300	126250	 
81	30960	196380	1000
82	30960	196380	 
83	30960	196380	 
84	30960	196380	 
85	30960	196380	 
86	30960	196380	 
87	30960	196380	 
88	30960	196380	 
89	41580	357660	 
90	41580	357660	 
91	41580	357660	 
92	41580	357660	 
93	41580	357660	 
94	41580	357660	 
95	41580	357660	 
96	41580	357660	 
97	41580	357660	 
98	41580	357660	 
99	41580	357660	 
100	41580	357660	 
101	63770	564200	2000
102	63770	564200	 
103	63770	564200	 
104	63770	564200	 
105	63770	564200	 
106	63770	564200	 
107	63770	564200	 
108	63770	564200	 
109	63770	564200	 
110	63770	564200	 
111	63770	564200	 
112	63770	564200	 
113	63770	564200	 
114	78190	738570	 
115	78190	738570	 
116	83230	813260	 
117	83230	813260	 
118	83230	813260	 
119	83230	813260	 
120	83230	813260	 
121	123040	1153120	4500
122	123040	1153120	 
123	123040	1153120	 
124	169840	1699120	 
125	169840	1699120	 
126	169840	1699120	 
127	169840	1699120	 
128	169840	1699120	 
129	169840	1699120	 
130	183840	1789040	 
131	183840	1789040	 
132	185440	1926400	 
133	185440	1926400	 
134	185440	1926400	 
135	185440	1926400	 
136	185440	1926400	 
137	185440	1926400	 
138	200800	2087360	 
139	200800	2087360	 
140	200800	2087360	 
141	235980	2521980	7000
142	235980	2521980	 
143	235980	2521980	 
144	235980	2521980	 
145	235980	2521980	 
146	235980	2521980	 
147	256770	2774070	 
148	256770	2774070	 
149	256770	2774070	 
150	256770	2774070	 
151	256770	2774070	 
152	256770	2774070	 
153	268920	2944890	 
154	268920	2944890	 
155	268920	2944890	 
156	268920	2944890	 
157	268920	2944890	 
158	268920	2944890	 
159	268920	2944890	 
160	268920	2944890	 
161	346500	3910800	7000
162	346500	3910800	 
163	346500	3910800	 
164	346500	3910800	 
165	346500	3910800	 
166	346500	3910800	 
167	346500	3910800	 
168	346500	3910800	 
169	346500	3910800	 
170	346500	3910800	 
171	346500	3910800	 
172	368500	4393300	 
173	368500	4393300	 
174	368500	4393300	 
175	368500	4393300	 
176	368500	4393300	 
177	368500	4393300	 
178	368500	4393300	 
179	368500	4393300	 
180	368500	4393300	 
181	419300	4988500	8000
182	419300	4988500	 
183	419300	4988500	 
184	419300	4988500	 
185	419300	4988500	 
186	419300	4988500	 
187	419300	4988500	 
188	419300	4988500	 
189	419300	4988500	 
190	419300	4988500	 
191	419300	4988500	 
192	480500	5983100	 
193	480500	5983100	 
194	480500	5983100	 
195	480500	5983100	 
196	480500	5983100	 
197	480500	5983100	 
198	480500	5983100	 
199	480500	5983100	 
200	480500	5983100	 
